id,Name,Cost,Unit,Title,Description,Keywords,Steel_grade,Sawing,Standard,Diameter,Height,Width,Thickness,Section,Coating,View,Brinell_hardness
301,Труба 18х2 ст20 ГК,33000,ton,Труба 18х2 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 18х2 из стали 20,"Где купить трубу 18х2 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 18х2! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 18х2 ст20, купить трубу 18х2 ст20, труба 18х2 ст20 цена, купить трубу 18х2",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
302,Труба 20х4 ст20,32000,ton,,,,,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
303,Труба 21х2.5 ст20,32000,ton,,,,,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
304,Труба 21х3 ст20,32000,ton,,,,,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
305,Труба 21х5 ст20,32000,ton,,,,,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
306,"Труба 25х1,5 ст20",33000,ton,"Труба 25х1,5 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 25х1,5 из стали 20","Где купить трубу 25х1,5 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 25х1,5! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 25х1 5 ст20, купить трубу 25х1 5 ст20, труба 25х1 5 ст20 цена, купить трубу 25х1 5",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
307,Труба 25х4.5 ст20,32000,ton,,,,,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
308,Труба 25х5 ст20 ГК,33500,ton,Труба 25х5 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 25х5 из стали 20,"Где купить трубу 25х5 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 25х5! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 25х5 ст20, купить трубу 25х5 ст20, труба 25х5 ст20 цена, купить трубу 25х5",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
309,Труба 27х2 ст20,32000,ton,,,,,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
310,Труба 27х6 ст20,32500,ton,,,,,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
311,Труба 27х5 ст20,32500,ton,,,,,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
312,Труба 27х8 ст20,32500,ton,,,,,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
313,Труба 28х4 ст20,32000,ton,,,,,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
314,Труба 28х6 ст20 ГК,33500,ton,Труба 28х6 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 28х6 из стали 20,"Где купить трубу 28х6 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 28х6! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 28х6 ст20, купить трубу 28х6 ст20, труба 28х6 ст20 цена, купить трубу 28х6",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
315,Труба 28х7 ст20 ГК,33500,ton,Труба 28х7 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 28х7 из стали 20,"Где купить трубу 28х7 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 28х7! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 28х7 ст20, купить трубу 28х7 ст20, труба 28х7 ст20 цена, купить трубу 28х7",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
316,Труба 28х8 ст20 ГК,33500,ton,Труба 28х8 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 28х8 из стали 20,"Где купить трубу 28х8 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 28х8! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 28х8 ст20, купить трубу 28х8 ст20, труба 28х8 ст20 цена, купить трубу 28х8",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
317,Труба 30х4 ст20,28600,ton,,,,,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
318,Труба 30х6 ст20,32500,ton,,,,,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
319,Труба 30х8 ст20 ГК,33500,ton,Труба 30х8 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 30х8 из стали 20,"Где купить трубу 30х8 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 30х8! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 30х8 ст20, купить трубу 30х8 ст20, труба 30х8 ст20 цена, купить трубу 30х8",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
320,Труба 32х6 ст20 ГК,33500,ton,Труба 32х6 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 32х6 из стали 20,"Где купить трубу 32х6 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 32х6! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 32х6 ст20, купить трубу 32х6 ст20, труба 32х6 ст20 цена, купить трубу 32х6",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
321,Труба 32х8 ст20 ГК,33500,ton,Труба 32х8 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 32х8 из стали 20,"Где купить трубу 32х8 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 32х8! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 32х8 ст20, купить трубу 32х8 ст20, труба 32х8 ст20 цена, купить трубу 32х8",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
322,Труба 34х2 ст20 ГК,31000,ton,Труба 34х2 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 34х2 из стали 20,"Где купить трубу 34х2 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 34х2! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 34х2 ст20, купить трубу 34х2 ст20, труба 34х2 ст20 цена, купить трубу 34х2",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
323,Труба 34х3 ст20 ГК,31000,ton,Труба 34х3 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 34х3 из стали 20,"Где купить трубу 34х3 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 34х3! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 34х3 ст20, купить трубу 34х3 ст20, труба 34х3 ст20 цена, купить трубу 34х3",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
324,Труба 34х5 ст20,33500,ton,Труба 34х5 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 34х5 из стали 20,"Где купить трубу 34х5 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 34х5! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 34х5 ст20, купить трубу 34х5 ст20, труба 34х5 ст20 цена, купить трубу 34х5",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
325,Труба 34х6 ст20,33500,sq-m,Труба 34х6 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 34х6 из стали 20,"Где купить трубу 34х6 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 34х6! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 34х6 ст20, купить трубу 34х6 ст20, труба 34х6 ст20 цена, купить трубу 34х6",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
326,Труба 35х5 ст20 ГК,33500,ton,Труба 35х5 ст20 купить в Киеве. Лучшая цена за метр горячекатаной трубы 35х5 из стали 20,"Где купить трубу 35х5 ст20 в Киеве? У нас лучшая цена на горячекатаные бесшовные трубы 35х5! ГОСТ 8732, сталь 20. Звоните: (044) 503-50-45","труба 35х5 ст20, купить трубу 35х5 ст20, труба 35х5 ст20 цена, купить трубу 35х5",,11-12м,ГОСТ 8732,,,,,,,Бесшовная горячекатаная труба,
